6884,94041,SEA ROBIN TO BRIDGELINE (ERATH),LA,VERMILION,FLD,INT,D,,9/22/2021,9/22/2021,153
6885,94041P,SEA ROBIN TO BRIDGELINE (ERATH) - PARK,LA,VERMILION,FLD,VIR,D,,9/22/2021,9/22/2021,153
6886,94041P,SEA ROBIN TO BRIDGELINE (ERATH) - PARK,LA,VERMILION,FLD,VIR,R,,9/22/2021,9/22/2021,153
6887,94042,SMI 128 A - FIELDWOOD,LA,OFFSHORE-FEDERAL,FLD,GTH,R,,9/22/2021,9/22/2021,153
6888,94043,SMI 128 S - GARDEN BANKS GAS PIPELINE ,LA,OFFSHORE-FEDERAL,FLD,GTH,R,,9/22/2021,9/22/2021,153
6889,94043P,SMI 128S - GARDEN BANKS PIPELINE - PARK,LA,OFFSHORE-FEDERAL,FLD,VIR,D,,9/22/2021,9/22/2021,153
6890,94043P,SMI 128S - GARDEN BANKS PIPELINE - PARK,LA,OFFSHORE-FEDERAL,FLD,VIR,R,,9/22/2021,9/22/2021,153
6891,94045,SMI 142 - FIELDWOOD ENERGY OFFSHORE,LA,OFFSHORE-FEDERAL,FLD,GTH,R,,9/22/2021,9/22/2021,153
6892,94049,SMI 160 - CASTEX OFFSHORE. INC.,LA,OFFSHORE-FEDERAL,FLD,GTH,R,,9/22/2021,9/22/2021,153
6893,94053,SMI 23 G - BLACK ELK ENERGY OFFSHORE OPERATIONS,LA,OFFSHORE-FEDERAL,FLD,GTH,R,,9/22/2021,9/22/2021,153
6894,94058,SMI 39 - FIELDWOOD ENERGY OFFSHORE,LA,OFFSHORE-FEDERAL,FLD,GTH,R,,9/22/2021,9/22/2021,153
6895,94059,SMI 40 - FIELDWOOD ENERGY OFFSHORE,LA,OFFSHORE-FEDERAL,FLD,GTH,R,,9/22/2021,9/22/2021,153
6896,94061,HENRY HUB - SABINE 2 - SOUTH,LA,VERMILION,FLD,INT,D,,9/22/2021,9/22/2021,153
6897,94061P,HENRY HUB - SABINE 2 - SOUTH - PARK,LA,VERMILION,FLD,VIR,D,,9/22/2021,9/22/2021,153
6898,94061P,HENRY HUB - SABINE 2 - SOUTH - PARK,LA,VERMILION,FLD,VIR,R,,9/22/2021,9/22/2021,153
6899,94062,SEA ROBIN TO SOUTHERN NATURAL INTERCONNECT,LA,VERMILION,FLD,INT,D,,9/22/2021,9/22/2021,153
6900,94062P,SEA ROBIN TO SOUTHERN NATURAL INTERCONNECT - PARK,LA,VERMILION,FLD,VIR,D,,9/22/2021,9/22/2021,153
6901,94062P,SEA ROBIN TO SOUTHERN NATURAL INTERCONNECT - PARK,LA,VERMILION,FLD,VIR,R,,9/22/2021,9/22/2021,153
6902,94063,SS 222 - ENERGY RESOURCE TECHNOLOGY GOM,LA,OFFSHORE-FEDERAL,FLD,GTH,R,,9/22/2021,9/22/2021,153
6903,94064,SS 225 B - ENERGY RESOURCE TECHNOLOGY GOM,LA,OFFSHORE-FEDERAL,FLD,GTH,R,,9/22/2021,9/22/2021,153
6904,94067,VM 164 - ENERGY XXI,LA,OFFSHORE-FEDERAL,FLD,GTH,R,,9/22/2021,9/22/2021,153
6905,94068,VM 171 - ENERGY RESOURCE TECHNOLOGY GOM,LA,OFFSHORE-FEDERAL,FLD,GTH,R,,9/22/2021,9/22/2021,153
6906,94072,WC 580 - BLACK ELK ENERGY OFFSHORE OPERATIONS ,LA,OFFSHORE-FEDERAL,FLD,GTH,R,,9/22/2021,9/22/2021,153
6907,94077,ENTERPRISE GAS PROCESSING - SEA ROBIN SHRINKAGE,LA,VERMILION,FLD,WHD,D,,9/22/2021,9/22/2021,153
6908,94090,TEXACO PIPELINES,LA,VERMILION,FLD,WHD,D,,9/22/2021,9/22/2021,153
6909,94090P,TEXACO PIPELINES - PARK,LA,VERMILION,FLD,VIR,D,,9/22/2021,9/22/2021,153
6910,94090P,TEXACO PIPELINES - PARK,LA,VERMILION,FLD,VIR,R,,9/22/2021,9/22/2021,153
6911,94096P,SEA ROBIN - TGC INTERCONNECT - PARK,LA,VERMILION,FLD,VIR,D,,9/22/2021,9/22/2021,153
6912,94096P,SEA ROBIN - TGC INTERCONNECT - PARK,LA,VERMILION,FLD,VIR,R,,9/22/2021,9/22/2021,153
6913,94100,SEA ROBIN PLANT FURNISHED PTR - HESS,LA,VERMILION,FLD,PLT,D,,9/22/2021,9/22/2021,153
6914,94108,FT HENRY RECEIPT - AMERICAN PANTHER,LA,VERMILION,FLD,INT,R,,9/22/2021,9/22/2021,153
6915,94108P,FT HENRY RECEIPT - AMERICAN PANTHER - PARK,LA,VERMILION,FLD,VIR,D,,9/22/2021,9/22/2021,153
6916,94108P,FT HENRY RECEIPT - AMERICAN PANTHER - PARK,LA,VERMILION,FLD,VIR,R,,9/22/2021,9/22/2021,153
6917,94109,SMI 217 A - COX OPERATING,LA,OFFSHORE-FEDERAL,FLD,WHD,R,,9/22/2021,9/22/2021,153
6918,94110,SEA ROBIN DELIVERY - TEXAS GAS,LA,VERMILION,FLD,INT,D,,9/22/2021,9/22/2021,153
6919,94110P,SEA ROBIN DELIVERY - TEXAS GAS - PARK,LA,VERMILION,FLD,VIR,D,,9/22/2021,9/22/2021,153
6920,94110P,SEA ROBIN DELIVERY - TEXAS GAS - PARK,LA,VERMILION,FLD,VIR,R,,9/22/2021,9/22/2021,153
6921,94113,EC 205 - ENERGY RESOURCE TECHNOLOGY GOM,LA,OFFSHORE-FEDERAL,FLD,GTH,R,,9/22/2021,9/22/2021,153
6922,94116,EC 213 - CASTEX OFFSHORE ,LA,OFFSHORE-FEDERAL,FLD,GTH,R,,9/22/2021,9/22/2021,153
6923,94119,EI 333 B - FIELDWOOD,LA,OFFSHORE-FEDERAL,FLD,GTH,R,,9/22/2021,9/22/2021,153
6924,94120,VM 52 C - ARENA OFFSHORE ,LA,VERMILION,FLD,INT,R,,9/22/2021,9/22/2021,153
6925,94123,EI 315 A - FIELDWOOD,LA,OFFSHORE-FEDERAL,FLD,GTH,R,,9/22/2021,9/22/2021,153
6926,94124,EI 316 A - FIELDWOOD,LA,VERMILION,FLD,GTH,R,,9/22/2021,9/22/2021,153
6927,94125,EI 331 B - RENAISSANCE OFFSHORE ,LA,VERMILION,FLD,GTH,R,,9/22/2021,9/22/2021,153
6928,94126,EC 338 A - W & T OFFSHORE,LA,OFFSHORE-FEDERAL,FLD,GTH,R,,9/22/2021,9/22/2021,153
6929,94128,EC 178 D - FIELDWOOD ENERGY OFFSHORE,LA,VERMILION,FLD,GTH,R,,9/22/2021,9/22/2021,153
6930,94129,EC 334 E - ENERGY XXI GOM,LA,OFFSHORE-FEDERAL,FLD,GTH,R,,9/22/2021,9/22/2021,153
6931,94130,EI 314 - ARENA OFFSHORE,LA,VERMILION,FLD,GTH,R,,9/22/2021,9/22/2021,153
6932,94134,EI 361 - COX OPERATING,LA,OFFSHORE-FEDERAL,FLD,GTH,R,,9/22/2021,9/22/2021,153
